Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
63289,Key Capture Energy,65701,TX23 Roughneck Storage,TX,Brazoria,TX23,OP,Batteries,BA,IPP Non-CHP,2,50.0,50.0,50.0,12,2022,50,50,50,LIB,,,,50,CS,Y,PR,,Y,,,,Y,,Y,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65809,Caterina,TX,Dimmit,CATER,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,8,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65810,Cedarville (TX),TX,Reeves,CDRVL,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65811,Coyote Springs (TX),TX,Reeves,CYTSP,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65813,Faulkner,TX,Reeves,FAULK,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65814,Gomez,TX,Pecos,GOMEZ,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,5,2023,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65829,Holcomb (TX),TX,La Salle,HOLCO,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2023,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65830,Junction (TX),TX,Kimble,JUNCT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,10,2023,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65831,Lonestar,TX,Ward,LNSTR,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,8,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65832,Olney,TX,Young,OLNEY,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,5,2023,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65833,Rattlesnake (TX),TX,Ward,RTLSK,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65834,Saddleback,TX,Reeves,SDLBK,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2022,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65835,Screwbean,TX,Culberson,SCRWB,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2023,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65836,Toyah Power Station,TX,Reeves,TOYAH,OP,Batteries,BA,IPP Non-CHP,2,10.4,9.9,9.9,10,2021,9.9,9.9,9.9,LIB,,,,9.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65076,"HEN Infrastructure, L.L.C.",65838,Hoef's Road Storage,TX,Reeves,HOEFS,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,5,2021,2,2,2,LIB,,,,2,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65181,House Mountain,66006,House Mountain,TX,Brewster,BA,OP,Batteries,BA,IPP Non-CHP,2,73.2,60.0,60.0,12,2023,120,60,60,LIB,,,,20,CS,PR,Y,,Y,,,,,Y,,,,,,Y,N, ,, ,, ,,N
65182,Flower Valley II,66007,Flower Valley II,TX,Reeves,BA,OP,Batteries,BA,IPP Non-CHP,2,101.0,101.0,101.0,4,2022,200,100,100,LIB,,,,43.4,CS,PR,Y,,Y,,,,,Y,,,,,,Y,N, ,, ,, ,,N
65183,Swoose II,66008,Swoose II,TX,Ward,BA,OP,Batteries,BA,IPP Non-CHP,2,101.0,101.0,101.0,8,2022,200,100,100,LIB,,,,43.4,CS,PR,Y,,Y,,,,,Y,,,,,,Y,N, ,, ,, ,,N
65184,Crossett Power Management LLC,66009,Crossett Power Management LLC,TX,Crane,BA,OP,Batteries,BA,IPP Non-CHP,2,203.0,203.0,203.0,6,2022,400,200,200,LIB,,,,67.4,CS,PR,Y,,Y,,,,,Y,,,,,,Y,N, ,, ,, ,,N
65313,"Crane 2 BESS, LLC",66170,Revolution,TX,Crane,1,OP,Batteries,BA,IPP Non-CHP,2,150.0,150.0,150.0,12,2023,368.8,150,150,LIB,,,,4.3,CS,PR,,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65642,Wolf Tank Storage LLC,66616,Wolf Tank Storage,TX,Webb,1,OP,Batteries,BA,IPP Non-CHP,2,150.0,150.0,150.0,7,2023,150,150,150,LIB,,,,49.3,CS,PR,Y,Y,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
65838,SMT Mercedes LLC,66926,SMT Mercedes LLC,TX,Hidalgo,SMTNM,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,Y,,,,,,,PR,,,,,,Y,N, ,, ,, ,,N
65839,SMT Mission LLC,66927,SMT Mission LLC,TX,Hidalgo,SMTMB,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65844,SMT Santa Rosa LLC,66928,SMT Santa Rosa LLC,TX,Cameron,SMTSR,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65843,SMT Alamo LLC,66929,SMT Alamo LLC,TX,Hidalgo,SMTAL,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65842,SMT Bay City LLC,66930,SMT Bay City LLC,TX,Matagorda,SMTBC,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,11,2023,10,8,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65841,SMT Elsa LLC,66931,SMT Elsa LLC,TX,Hidalgo,SMTEL,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,6,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65840,SMT Los Fresnos LLC,66932,SMT Los Fresnos LLC,TX,Cameron,SMTLF,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65847,SMT Harlingen II LLC,66933,SMT Harlingen II LLC,TX,Cameron,SMTH2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65845,SMT Rio Grande I LLC,66934,SMT Rio Grande I LLC,TX,Starr,SMTR1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,8.5,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65846,SMT Rio Grande II LLC,66935,SMT Rio Grande II LLC,TX,Starr,SMTR2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
66057,"Rodeo Ranch Energy Storage, LLC",67175,Rodeo Ranch Energy Storage,TX,Reeves,RODE1,OP,Batteries,BA,IPP Non-CHP,2,300.0,300.0,300.0,12,2023,600,300,300,LIB,,,,97,CS,Y,PR,,,,,,,Y,,,,,,Y,N, ,, ,, ,,N
